row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Sample4_tokens,Sample5_tokens
79,68,10292,10360,5309,1061.8,1467,0.515838,1467,882,890,739,1331
80,68,3618,3686,3219,643.8,1374,0.889718,468,462,455,460,1374
81,68,7013,7081,6220,1244.0,2646,0.886924,940,1002,749,2646,883
82,68,3145,3213,2598,519.6,600,0.826073,347,558,600,589,504
83,68,16691,16759,15638,3127.6,6092,0.936912,1392,1233,1400,6092,5521
84,68,9781,9849,8662,1732.4,2846,0.885595,2111,1186,1784,2846,735
85,68,3845,3913,3386,677.2,765,0.880624,575,621,755,670,765
86,68,7681,7749,6602,1320.4,2364,0.859523,782,1259,1452,745,2364
87,68,11975,12043,11021,2204.2,3813,0.920334,2219,2195,1522,3813,1272
88,68,4504,4572,4014,802.8,1136,0.891208,639,1136,782,750,707
89,68,15593,15661,14914,2982.8,5948,0.956455,1289,5948,1186,3343,3148
90,68,11717,11785,11173,2234.6,2769,0.953572,2116,1878,1755,2655,2769
91,68,7964,8032,6916,1383.2,2035,0.868408,1061,1235,1691,894,2035
92,68,6209,6277,5342,1068.4,1650,0.860364,1650,1017,857,1018,800
93,68,3864,3932,3319,663.8,835,0.858954,563,570,733,618,835
94,68,5963,6031,4891,978.2,1240,0.820225,1048,804,988,1240,811
95,68,7880,7948,6451,1290.2,1936,0.818655,1374,656,1936,1015,1470
96,68,6613,6681,5103,1020.6,1470,0.771662,838,944,764,1470,1087
97,68,8924,8992,8014,1602.8,2086,0.898028,1808,1873,1171,1076,2086
98,68,6818,6886,6340,1268.0,1341,0.929891,1118,1323,1257,1341,1301
99,68,7384,7452,6865,1373.0,1880,0.929713,1051,1015,1058,1880,1861
100,68,3845,3913,3313,662.6,1026,0.861638,514,640,570,563,1026
101,68,67065,67133,66129,13225.8,13360,0.986043,13101,13167,13141,13360,13360
102,68,3920,3988,3310,662.0,710,0.844388,625,710,653,687,635
103,68,5407,5475,4506,901.2,1199,0.833364,1171,1199,703,775,658
104,68,10636,10704,9106,1821.2,2625,0.856149,1979,1787,1636,2625,1079
105,68,11385,11453,10621,2124.2,5812,0.932894,5812,912,1551,928,1418
106,68,7422,7490,6512,1302.4,2049,0.877392,2049,1261,1446,780,976
107,68,4392,4460,3812,762.4,968,0.867942,589,759,530,968,966
108,68,6729,6797,5917,1183.4,2029,0.879328,757,1281,707,1143,2029
109,68,6880,6948,6029,1205.8,2056,0.876308,1400,2056,895,992,686
110,68,6867,6935,6057,1211.4,1881,0.882045,1543,834,824,1881,975
111,68,10251,10319,9055,1811.0,4105,0.883328,1891,1117,1091,851,4105
112,68,11762,11830,11053,2210.6,2860,0.939721,2860,2561,1370,1416,2846
113,68,5991,6059,4838,967.6,2029,0.807545,726,757,619,2029,707
114,68,5947,6015,5524,1104.8,1198,0.928872,1092,1102,1062,1070,1198
115,68,6268,6336,5823,1164.6,1166,0.929004,1165,1166,1164,1164,1164
116,68,9330,9398,5533,1106.6,1638,0.593033,1117,955,901,1638,922
117,68,4967,5035,4190,838.0,995,0.843568,962,791,995,653,789
118,68,7321,7389,6855,1371.0,1413,0.936347,1381,1392,1335,1334,1413
119,68,7130,7198,5508,1101.6,1696,0.772511,1000,1696,593,578,1641
120,68,6682,6750,6053,1210.6,1455,0.905867,1326,1455,940,1058,1274
121,68,11793,11861,10652,2130.4,5730,0.903248,1278,1171,5730,1445,1028
122,68,3920,3988,3466,693.2,1075,0.884184,585,524,554,728,1075
123,68,8112,8180,7415,1483.0,1921,0.914078,1022,1921,1663,1506,1303
124,68,6646,6714,5365,1073.0,1431,0.807252,901,1322,818,893,1431
125,68,8099,8167,6644,1328.8,1703,0.820348,1251,1423,914,1353,1703
126,68,7900,7968,6164,1232.8,1493,0.780253,1181,1493,1088,1106,1296
127,68,11008,11076,7580,1516.0,3682,0.68859,1186,636,3682,1092,984
128,68,8603,8671,7696,1539.2,1663,0.894572,1642,1469,1663,1461,1461
129,68,9367,9435,8651,1730.2,3518,0.923561,669,1125,3518,2755,584
130,68,8219,8287,7599,1519.8,1663,0.924565,1364,1642,1469,1663,1461
131,68,8049,8117,6782,1356.4,1818,0.842589,1622,1818,1368,1017,957
132,68,6191,6259,5744,1148.8,1650,0.927798,1115,1327,1650,894,758
133,68,7649,7717,6842,1368.4,1801,0.894496,1801,1551,908,1654,928
134,68,8777,8845,5480,1096.0,1256,0.624359,1256,1090,964,1028,1142
135,68,6951,7019,5893,1178.6,1416,0.847792,1416,1048,1184,972,1273
136,68,5556,5624,4541,908.2,1061,0.817315,1061,1061,1061,695,663
137,68,5879,5947,5283,1056.6,1164,0.898622,1063,1025,1038,993,1164
138,68,8022,8090,7150,1430.0,4146,0.891299,749,4146,894,638,723
139,68,7681,7749,6814,1362.8,1842,0.887124,967,1323,1433,1842,1249
140,68,5219,5287,4474,894.8,1019,0.857252,1019,986,982,761,726
141,68,10785,10853,9166,1833.2,4066,0.849884,1827,4066,710,1405,1158
142,68,6370,6438,5873,1174.6,1647,0.921978,827,987,1647,1356,1056
143,68,6809,6877,5719,1143.8,1179,0.839918,1081,1127,1179,1166,1166
144,68,6729,6797,6023,1204.6,1753,0.895081,1071,1252,1753,1082,865
145,68,6874,6942,6103,1220.6,1654,0.887838,1654,1551,610,928,1360
146,68,12676,12744,11823,2364.6,7161,0.932707,818,987,1999,7161,858
147,68,7568,7636,7020,1404.0,3165,0.92759,783,3165,1714,679,679
148,68,9257,9325,7261,1452.2,2398,0.784379,919,1135,715,2398,2094
149,68,6234,6302,5443,1088.6,1325,0.873115,1065,1197,955,1325,901
150,68,11464,11532,9221,1844.2,4103,0.804344,1472,1470,1085,4103,1091
151,68,10045,10113,9334,1866.8,2354,0.929219,1651,1617,1367,2345,2354
152,68,6158,6226,5545,1109.0,1904,0.900455,1904,872,1423,643,703
153,68,3283,3351,2788,557.6,580,0.849223,555,555,549,549,580
154,68,6093,6161,5541,1108.2,1378,0.909404,979,1019,891,1378,1274
155,68,5407,5475,4616,923.2,1218,0.853708,740,760,744,1218,1154
156,68,5695,5763,4908,981.6,982,0.861809,982,982,982,982,980
157,68,17495,17563,16660,3332.0,6953,0.952272,1218,2074,6953,3340,3075
158,68,5530,5598,5039,1007.8,1314,0.911212,1193,1314,840,750,942
159,68,4607,4675,4087,817.4,883,0.887128,765,691,880,883,868
160,68,7774,7842,6971,1394.2,1834,0.896707,1502,1834,1090,830,1715
161,68,11549,11617,9907,1981.4,2837,0.857823,1896,1243,1294,2637,2837
162,68,8537,8605,7276,1455.2,2223,0.85229,2223,784,1424,1706,1139
163,68,4724,4792,4007,801.4,920,0.848222,755,830,795,920,707
164,68,4916,4984,4277,855.4,1085,0.870016,558,719,1085,1085,830
165,68,17754,17822,15936,3187.2,4604,0.897601,1923,4604,4402,3044,1963
166,68,3635,3703,2930,586.0,711,0.806052,590,697,493,711,439
167,68,5537,5605,5099,1019.8,1398,0.920896,450,1360,947,1398,944
168,68,9395,9463,8103,1620.6,3251,0.86248,1031,1539,3251,1081,1201
169,68,7443,7511,6859,1371.8,3149,0.921537,791,3149,663,1130,1126
170,68,9041,9109,8240,1648.0,2365,0.911404,1441,1629,1573,1232,2365
171,68,5066,5134,4323,864.6,1274,0.853336,910,1274,707,675,757
172,68,7517,7585,6339,1267.8,2054,0.843289,1055,1104,2054,1291,835
173,68,5023,5091,4622,924.4,951,0.920167,885,927,930,929,951
174,68,8546,8614,6290,1258.0,2404,0.736017,2140,623,580,2404,543
175,68,5787,5855,4979,995.8,1285,0.860377,1285,881,1046,821,946
176,68,11226,11294,9642,1928.4,2616,0.858899,2616,1409,1769,2239,1609
177,68,7839,7907,6813,1362.6,1671,0.869116,1296,1153,1405,1671,1288
178,68,6034,6102,5291,1058.2,1173,0.876864,1168,1119,830,1001,1173
179,68,5790,5858,4661,932.2,1544,0.805009,1544,1023,770,481,843
180,68,4679,4747,4211,842.2,1152,0.899979,478,576,863,1142,1152
181,68,7185,7253,5993,1198.6,1452,0.834099,1259,782,1065,1435,1452
182,68,11203,11271,10423,2084.6,2756,0.930376,1789,1794,1758,2326,2756
183,68,6146,6214,4356,871.2,1192,0.708754,1192,768,683,934,779
184,68,3718,3786,3201,640.2,665,0.860947,603,636,652,645,665
185,68,5817,5885,5040,1008.0,1683,0.866426,865,837,1683,877,778
186,68,12992,13060,10304,2060.8,2856,0.793103,2856,2086,1397,1863,2102
187,68,7316,7384,6717,1343.4,1569,0.918125,1233,1248,1231,1569,1436
188,68,9805,9873,8750,1750.0,4744,0.892402,815,1291,570,1330,4744
189,68,3703,3771,3117,623.4,841,0.84175,468,468,529,841,811
190,68,10913,10981,6243,1248.6,1571,0.57207,1051,1376,1301,944,1571
191,68,8696,8764,8186,1637.2,2650,0.941352,557,1693,1334,2650,1952
192,68,8653,8721,7882,1576.4,2291,0.910898,1189,2291,1662,1566,1174
193,68,7275,7343,6752,1350.4,1626,0.92811,1265,1066,1528,1626,1267
194,68,3289,3357,2773,554.6,608,0.843113,608,589,519,543,514
195,68,9503,9571,6694,1338.8,2114,0.704409,812,1206,1510,1052,2114
196,68,13068,13136,10938,2187.6,4043,0.837006,1291,4043,3941,756,907
197,68,5115,5183,4515,903.0,1248,0.882698,558,1248,700,778,1231
198,68,5784,5852,5153,1030.6,1985,0.890906,669,1105,1985,582,812
199,68,8257,8325,7682,1536.4,1819,0.930362,1289,1522,1523,1529,1819
200,68,6595,6663,6012,1202.4,1509,0.9116,1509,1243,1095,762,1403
201,68,9609,9677,8568,1713.6,4138,0.891664,1301,1193,4138,688,1248
202,68,8313,8381,6821,1364.2,1536,0.820522,1296,1201,1536,1259,1529
203,68,8685,8753,8123,1624.6,2413,0.935291,2167,2413,1133,1764,646
204,68,6698,6766,6102,1220.4,2928,0.911018,655,2928,762,850,907
205,68,6656,6724,6077,1215.4,1753,0.913011,862,848,865,1753,1749
206,68,5388,5456,3854,770.8,856,0.715293,856,791,715,684,808
207,68,5309,5377,4142,828.4,935,0.780185,747,591,934,935,935
208,68,12648,12716,11876,2375.2,4939,0.938963,4939,922,1139,1927,2949
209,68,7076,7144,6444,1288.8,2745,0.910684,779,1707,2745,586,627
210,68,10198,10266,7962,1592.4,2313,0.780741,2252,1686,2313,893,818
211,68,6631,6699,6012,1202.4,1321,0.906651,1113,1108,1291,1179,1321
212,68,9407,9475,7986,1597.2,1769,0.848942,1758,1769,1757,955,1747
213,68,4055,4123,3460,692.0,1117,0.853268,508,487,590,1117,758
214,68,8865,8933,8131,1626.2,2785,0.917202,1120,1931,1370,2785,925
215,68,6497,6565,6048,1209.6,1405,0.930891,1366,935,1405,1324,1018
216,68,7990,8058,7328,1465.6,2501,0.917146,1055,2054,883,2501,835
217,68,9442,9510,8487,1697.4,2576,0.898856,1686,1827,1447,2576,951
218,68,10511,10579,8658,1731.6,2314,0.823708,1506,1274,1397,2314,2167
219,68,4414,4482,3874,774.8,1096,0.877662,433,561,906,1096,878
220,68,4539,4607,4017,803.4,1106,0.884997,853,852,1106,423,783
221,68,4699,4767,4032,806.4,897,0.858055,772,897,840,677,846
222,68,5293,5361,4473,894.6,1344,0.845078,1344,600,1096,775,658
223,68,6119,6187,5048,1009.6,1683,0.824971,1683,877,861,837,790
224,68,5809,5877,5313,1062.6,1201,0.914615,1198,1201,840,1066,1008
225,68,7745,7813,5756,1151.2,1502,0.743189,1502,1361,847,955,1091
